Episode #12 Reward: -143.80036685287536, Entropy mean: 1.5473300582170486, Entropy std: 0.06469517687940125
Episode #13 Reward: -149.12096403170344, Entropy mean: 1.5688061046600341, Entropy std: 0.03550964041954085
Episode #14 Reward: -156.475450196236, Entropy mean: 1.5449314850568772, Entropy std: 0.06249101086393135
Episode #15 Reward: -144.14323212046767, Entropy mean: 1.5521353822946549, Entropy std: 0.07269321830609721
Episode #16 Reward: -159.35708267415788, Entropy mean: 1.582594364285469, Entropy std: 0.025266260125466643
Episode #17 Reward: -148.1223075807861, Entropy mean: 1.557657277584076, Entropy std: 0.05086493966021826
Episode #18 Reward: -140.78973675016684, Entropy mean: 1.5766796571016313, Entropy std: 0.025070188977539248
Episode #19 Reward: -146.84877713971503, Entropy mean: 1.5647321826219558, Entropy std: 0.03848964786546698
Episode #20 Reward: -184.46483597548868, Entropy mean: 1.5767236375808715, Entropy std: 0.02604823042212651
Episode #21 Reward: -145.97269483555567, Entropy mean: 1.5760920786857604, Entropy std: 0.03946259189707372
Episode #22 Reward: -197.82917806567147, Entropy mean: 1.5849815857410432, Entropy std: 0.027700099997932423
Episode #23 Reward: -163.18483733321284, Entropy mean: 1.5823774766921996, Entropy std: 0.026915871865161405
Episode #24 Reward: -138.48742993076553, Entropy mean: 1.5783904540538787, Entropy std: 0.0301721266071406
Episode #25 Reward: -169.97631608254886, Entropy mean: 1.5836371505260467, Entropy std: 0.028122564893434395
Episode #26 Reward: -187.3253086949383, Entropy mean: 1.589314546585083, Entropy std: 0.020395248117045302
Episode #27 Reward: -178.95180155161793, Entropy mean: 1.5872679507732392, Entropy std: 0.023487923596158956
Episode #28 Reward: -174.92178119032621, Entropy mean: 1.5828838855028153, Entropy std: 0.03123336720932016
Episode #29 Reward: -135.9544880361171, Entropy mean: 1.5858626425266267, Entropy std: 0.022785439218200275
Episode #30 Reward: -158.10206972059171, Entropy mean: 1.5878445428609849, Entropy std: 0.020482416960908287
Episode #31 Reward: -166.46191043377243, Entropy mean: 1.5950166702270507, Entropy std: 0.01261820249308317
Episode #32 Reward: -163.9229557845792, Entropy mean: 1.5973067778348922, Entropy std: 0.010302941259689771
Episode #33 Reward: -223.19328504953495, Entropy mean: 1.5942124956846238, Entropy std: 0.011471543083406373
Episode #34 Reward: -200.33480256720404, Entropy mean: 1.5624581319093704, Entropy std: 0.08599729319662232
Episode #35 Reward: -1360.0980198664167, Entropy mean: 0.6192008934170008, Entropy std: 0.3891770349421463
Episode #36 Reward: -974.5089252352951, Entropy mean: 0.9723455567657947, Entropy std: 0.3073665625952924
Episode #37 Reward: -681.0703986832831, Entropy mean: 1.28002887070179, Entropy std: 0.06967690497190906
Episode #38 Reward: -1260.3794807469906, Entropy mean: 0.043705616367163615, Entropy std: 0.11122521514995871
Episode #39 Reward: -1524.7926733279003, Entropy mean: 1.1124338407668556e-08, Entropy std: 9.954021716290144e-08
Episode #40 Reward: -1659.884797313605, Entropy mean: 1.1778437198331021e-37, Entropy std: 1.6538323207991813e-36
Episode #41 Reward: -1524.9945515164018, Entropy mean: 0.0, Entropy std: 0.0
Episode #42 Reward: -1580.9987467733642, Entropy mean: 0.0, Entropy std: 0.0
Episode #43 Reward: -1379.178781892022, Entropy mean: 0.0, Entropy std: 0.0
Episode #44 Reward: -1402.7741715317502, Entropy mean: 0.0, Entropy std: 0.0
Episode #45 Reward: -1568.1281235234105, Entropy mean: 0.0, Entropy std: 0.0
Episode #46 Reward: -1405.5626793062218, Entropy mean: 0.0, Entropy std: 0.0
Episode #47 Reward: -1704.5129937630306, Entropy mean: 0.0, Entropy std: 0.0
Episode #48 Reward: -1573.7401598494703, Entropy mean: 0.0, Entropy std: 0.0
Episode #49 Reward: -1697.7899079380259, Entropy mean: 0.0, Entropy std: 0.0
Episode #50 Reward: -1591.0757314592404, Entropy mean: 0.0, Entropy std: 0.0
Episode #51 Reward: -1628.3463042422584, Entropy mean: 0.0, Entropy std: 0.0
Episode #52 Reward: -1786.884238191843, Entropy mean: 0.0, Entropy std: 0.0
Episode #53 Reward: -1509.2363920196972, Entropy mean: 0.0, Entropy std: 0.0
