Episode #97 Reward: -682.1929826988644, Entropy mean: 0.7983623141306453, Entropy std: 0.2924566822360108
Episode #98 Reward: -921.246338167952, Entropy mean: 0.7498819815833122, Entropy std: 0.3920990111261427
Episode #99 Reward: -1102.104842914678, Entropy mean: 0.5942091584818945, Entropy std: 0.43407041929653795
Episode #100 Reward: -772.929048559889, Entropy mean: 1.0699266693741083, Entropy std: 0.3395559334279608
Episode #101 Reward: -675.3099932071942, Entropy mean: 0.8460350725799799, Entropy std: 0.2757047882110291
Episode #102 Reward: -805.6442806616736, Entropy mean: 0.7711418139719172, Entropy std: 0.41828439117746125
Episode #103 Reward: -745.1863580352376, Entropy mean: 0.9197698952257634, Entropy std: 0.3469404970725327
Episode #104 Reward: -681.4758706924227, Entropy mean: 0.9877626907173545, Entropy std: 0.32030944210111273
Episode #105 Reward: -973.8247013401534, Entropy mean: 0.9916412810981273, Entropy std: 0.26650804228773667
Episode #106 Reward: -694.2747000114966, Entropy mean: 0.8130774905811995, Entropy std: 0.30081430928034675
Episode #107 Reward: -653.0806548012766, Entropy mean: 0.9622694212198257, Entropy std: 0.2827874696195448
Episode #108 Reward: -814.512956681368, Entropy mean: 0.8534277452342213, Entropy std: 0.3150818603999882
Episode #109 Reward: -640.0752527734826, Entropy mean: 0.8998864315822721, Entropy std: 0.3006720147348604
Episode #110 Reward: -977.4782165267424, Entropy mean: 0.5142045421941566, Entropy std: 0.3562351946625814
Episode #111 Reward: -608.0577929599647, Entropy mean: 0.5874623070575763, Entropy std: 0.5741938147159754
Episode #112 Reward: -593.9720532050028, Entropy mean: 1.0496541715972125, Entropy std: 0.272986017115448
Episode #113 Reward: -858.4425408282445, Entropy mean: 0.8208219061978161, Entropy std: 0.2968951791211849
Episode #114 Reward: -713.6719162743607, Entropy mean: 0.9398840088769793, Entropy std: 0.27609216409131326
Episode #115 Reward: -680.6613338294179, Entropy mean: 1.0638816701620817, Entropy std: 0.2691952471611037
Episode #116 Reward: -1103.1149824339413, Entropy mean: 0.7638444419781467, Entropy std: 0.41595206338550367
Episode #117 Reward: -622.7634058323586, Entropy mean: 0.7489470723643898, Entropy std: 0.34240449572320203
