Episode #121 Reward: -6207.87062678379, Entropy mean: 0.007705851258698964, Entropy std: 0.05730040005167858
Episode #122 Reward: -1351.6425223882575, Entropy mean: 0.003893209638760928, Entropy std: 0.046610813158483685
Episode #123 Reward: -6066.21348386827, Entropy mean: 0.004150899801414557, Entropy std: 0.04302861948399297
Episode #124 Reward: -4876.606968119564, Entropy mean: 0.009972595354083727, Entropy std: 0.06950536194646979
Episode #125 Reward: -5478.09841165363, Entropy mean: 0.0023845715040469624, Entropy std: 0.03470224719743482
Episode #126 Reward: -5877.530270486609, Entropy mean: 0.0027764606856296925, Entropy std: 0.035010466883045634
Episode #127 Reward: -7084.481411419831, Entropy mean: 0.0003082273455617476, Entropy std: 0.006156791791112768
Episode #128 Reward: -7604.212648174272, Entropy mean: 0.0, Entropy std: 0.0
Episode #129 Reward: -5930.078356551387, Entropy mean: 0.0010308271412491701, Entropy std: 0.01958175916948316
Episode #130 Reward: -7493.2577056797445, Entropy mean: 0.0003797253815011803, Entropy std: 0.006952798600708427
Episode #131 Reward: -7603.340700763707, Entropy mean: 0.000757444268884223, Entropy std: 0.015118689227925912
Episode #132 Reward: -7424.229184686206, Entropy mean: 1.1868399584101894e-11, Entropy std: 2.3603808747229933e-10
Episode #133 Reward: -7903.52716705688, Entropy mean: 1.1043817639610874e-36, Entropy std: 2.2060008457553942e-35
Episode #134 Reward: -7856.565955513174, Entropy mean: 0.0, Entropy std: 0.0
Episode #135 Reward: -7951.115286623499, Entropy mean: 0.0, Entropy std: 0.0
Episode #136 Reward: -4642.711261999391, Entropy mean: 7.179404615656591e-06, Entropy std: 0.00014335520855379087
Episode #137 Reward: -7945.655031582183, Entropy mean: 0.0, Entropy std: 0.0
Episode #138 Reward: -7299.404876462671, Entropy mean: 8.695128375550762e-05, Entropy std: 0.0017368505323512814
Episode #139 Reward: -6822.985824666758, Entropy mean: 1.9921510621689898e-13, Entropy std: 3.9793186300495116e-12
Episode #140 Reward: -6699.5629190945465, Entropy mean: 9.971991114798954e-14, Entropy std: 1.9919036651067552e-12
Episode #141 Reward: -8049.989495628511, Entropy mean: 0.0, Entropy std: 0.0
Episode #142 Reward: -7586.606954474977, Entropy mean: 0.0, Entropy std: 0.0
Episode #143 Reward: -1047.376741012335, Entropy mean: 2.6909206546432237e-10, Entropy std: 5.164816706495873e-09
Episode #144 Reward: -7353.426042082187, Entropy mean: 1.0936773900871348e-25, Entropy std: 2.184618875688698e-24
Episode #145 Reward: -1699.364520233808, Entropy mean: 0.013666475721869565, Entropy std: 0.08268480732796082
Episode #146 Reward: -1695.0450913027653, Entropy mean: 0.01218003107757358, Entropy std: 0.0707130921530672
Episode #147 Reward: -1982.436864237732, Entropy mean: 0.00997298787912511, Entropy std: 0.06423256102394567
Episode #148 Reward: -1090.2645351346391, Entropy mean: 0.011684701123887246, Entropy std: 0.06895899096287653
Episode #149 Reward: -6435.076503860428, Entropy mean: 0.0074213779531150026, Entropy std: 0.05053098243840135
Episode #150 Reward: -710.3651526415805, Entropy mean: 0.01377262350570812, Entropy std: 0.08147013757725177
Episode #151 Reward: -6094.670942456916, Entropy mean: 0.013061133077997625, Entropy std: 0.07836567366442981
Episode #152 Reward: -6914.172135317103, Entropy mean: 0.003262493856926529, Entropy std: 0.042660228292653916
Episode #153 Reward: -1252.4144583681361, Entropy mean: 0.019660275730535835, Entropy std: 0.08567871213959359
Episode #154 Reward: -6202.4275696244395, Entropy mean: 3.4366400998603195e-05, Entropy std: 0.0006683087802238574
Episode #155 Reward: -5764.235380844693, Entropy mean: 0.025414756307777495, Entropy std: 0.10327111678041351
Episode #156 Reward: -6425.730849674138, Entropy mean: 0.007539787210803864, Entropy std: 0.06737830322567587
Episode #157 Reward: -1279.1846003738342, Entropy mean: 0.013364634793067012, Entropy std: 0.07752997463029045
Episode #158 Reward: -1525.449507532116, Entropy mean: 0.01621905912691638, Entropy std: 0.09222558499983352
Episode #159 Reward: -6527.705667689102, Entropy mean: 0.0033977990957869057, Entropy std: 0.041755745091449886
Episode #160 Reward: -1001.8006662222916, Entropy mean: 0.006438629307673773, Entropy std: 0.05136775051204497
Episode #161 Reward: -7749.431108492895, Entropy mean: 0.008666407414439518, Entropy std: 0.06614812167247984
Episode #162 Reward: -4962.064949840047, Entropy mean: 0.00029691849603649104, Entropy std: 0.005482282377979715
Episode #163 Reward: -4776.247117770957, Entropy mean: 5.490564058095726e-15, Entropy std: 1.0967393116299329e-13
Episode #164 Reward: -7664.806414236149, Entropy mean: 0.0, Entropy std: 0.0
Episode #165 Reward: -3308.3927805318663, Entropy mean: 3.285718970967317e-20, Entropy std: 6.563218504143862e-19
Episode #166 Reward: -4582.149208993658, Entropy mean: 3.5290645854564213e-15, Entropy std: 7.04902132895643e-14
Episode #167 Reward: -7918.259472663988, Entropy mean: 0.0, Entropy std: 0.0
Episode #168 Reward: -6143.073623576261, Entropy mean: 0.0, Entropy std: 0.0
Episode #169 Reward: -6066.948841213693, Entropy mean: 1.3115371319726659e-05, Entropy std: 0.00026195574185076156
Episode #170 Reward: -5309.9184814995, Entropy mean: 0.03343890338942548, Entropy std: 0.12861907579793852
Episode #171 Reward: -8043.8417117489, Entropy mean: 0.0, Entropy std: 0.0
Episode #172 Reward: -7842.812812993558, Entropy mean: 0.0, Entropy std: 0.0
Episode #173 Reward: -7830.9951805424525, Entropy mean: 0.0, Entropy std: 0.0
Episode #174 Reward: -7759.8697775643595, Entropy mean: 0.0, Entropy std: 0.0
Episode #175 Reward: -8146.72799209829, Entropy mean: 0.0, Entropy std: 0.0
Episode #176 Reward: -7780.121879529313, Entropy mean: 0.0, Entropy std: 0.0
