Episode #81 Reward: -6799.343216816064, Entropy mean: 0.0740406419257588, Entropy std: 0.26418558608163106
Episode #82 Reward: -9037.843550218542, Entropy mean: 0.1122510479692289, Entropy std: 0.33674159952446986
Episode #83 Reward: -5875.070033989204, Entropy mean: 0.09486484338921915, Entropy std: 0.3069895617609399
Episode #84 Reward: -7686.677458908391, Entropy mean: 0.09563761471956968, Entropy std: 0.3127787297131894
Episode #85 Reward: -7343.704359933832, Entropy mean: 0.07601440041512252, Entropy std: 0.25782766184084305
Episode #86 Reward: -6438.520919789224, Entropy mean: 0.0828073327988498, Entropy std: 0.2702164927333372
Episode #87 Reward: -7474.215120368153, Entropy mean: 0.09756366177198714, Entropy std: 0.3067632905692326
Episode #88 Reward: -9146.18948778791, Entropy mean: 0.028792127765573078, Entropy std: 0.18145391293486882
Episode #89 Reward: -11321.323545437013, Entropy mean: 0.06365627435713588, Entropy std: 0.21170001576603434
Episode #90 Reward: -8349.836391886982, Entropy mean: 0.0539387124363715, Entropy std: 0.21328021866239485
Episode #91 Reward: -16542.817097635027, Entropy mean: 0.043353630745901706, Entropy std: 0.1936657064082204
Episode #92 Reward: -12643.969832843313, Entropy mean: 0.06258847719280408, Entropy std: 0.219650404565321
Episode #93 Reward: -9834.835299971153, Entropy mean: 0.05884579128240903, Entropy std: 0.20826527298795822
Episode #94 Reward: -7058.2066871925645, Entropy mean: 0.031182619946968807, Entropy std: 0.18326496293105543
Episode #95 Reward: -7274.483728663969, Entropy mean: 0.05527263289548815, Entropy std: 0.21260856321873312
Episode #96 Reward: -9383.348058962427, Entropy mean: 0.03707889396974507, Entropy std: 0.1736211772357422
Episode #97 Reward: -9421.397125570544, Entropy mean: 0.027267635893370678, Entropy std: 0.16156438998259642
Episode #98 Reward: -10479.849113189306, Entropy mean: 0.004543594713788432, Entropy std: 0.04773402063434525
Episode #99 Reward: -8228.651835368355, Entropy mean: 0.006699269450163453, Entropy std: 0.0613177420939562
Episode #100 Reward: -13881.564067023002, Entropy mean: 0.003984509494941503, Entropy std: 0.03736085701420514
Episode #101 Reward: -9854.984760863057, Entropy mean: 0.011305678913955959, Entropy std: 0.07716777482372886
Episode #102 Reward: -8022.5302960707495, Entropy mean: 0.012062911354994283, Entropy std: 0.08428556245345535
Episode #103 Reward: -12145.059484238958, Entropy mean: 0.024535866618614444, Entropy std: 0.14857262249890266
Episode #104 Reward: -11483.352262396185, Entropy mean: 0.020635829334478117, Entropy std: 0.11035731528542725
Episode #105 Reward: -6042.861358450986, Entropy mean: 0.01431684619772549, Entropy std: 0.0966176749021441
Episode #106 Reward: -13427.071543780658, Entropy mean: 0.01854070136988919, Entropy std: 0.10575886224565934
Episode #107 Reward: -6713.787707919456, Entropy mean: 0.031630532090741285, Entropy std: 0.14797972870775727
Episode #108 Reward: -10450.885894142095, Entropy mean: 0.0024394820271159867, Entropy std: 0.035055185222006104
Episode #109 Reward: -12191.693479825635, Entropy mean: 0.0002281223634382647, Entropy std: 0.002702629174417427
Episode #110 Reward: -9831.030101901515, Entropy mean: 0.0004966070530576903, Entropy std: 0.014194873789106905
Episode #111 Reward: -7421.952744793698, Entropy mean: 0.004618460093665172, Entropy std: 0.04551143248071144
Episode #112 Reward: -9215.823116875334, Entropy mean: 0.0021347014497377094, Entropy std: 0.024845286982741695
Episode #113 Reward: -6797.77990261583, Entropy mean: 0.0003950226443962572, Entropy std: 0.01241631051627264
Episode #114 Reward: -9320.542565885487, Entropy mean: 0.0004587058062388262, Entropy std: 0.010275531325338335
Episode #115 Reward: -8853.26440640677, Entropy mean: 0.001076809461737136, Entropy std: 0.024371180164481733
Episode #116 Reward: -9989.901271323826, Entropy mean: 0.008675161582534893, Entropy std: 0.06062164069151805
Episode #117 Reward: -5523.07948991177, Entropy mean: 0.02172917148303928, Entropy std: 0.11877086338573767
Episode #118 Reward: -7249.748122874908, Entropy mean: 0.033673478313948, Entropy std: 0.13917997874405513
Episode #119 Reward: -8341.048936807538, Entropy mean: 0.013389379359877124, Entropy std: 0.08527799631582264
Episode #120 Reward: -5349.3222011195, Entropy mean: 0.003352307751167917, Entropy std: 0.03427425481341356
Episode #121 Reward: -10291.94212162908, Entropy mean: 0.014844265438984924, Entropy std: 0.08579024057868206
Episode #122 Reward: -7154.719654920358, Entropy mean: 0.006360434843296388, Entropy std: 0.049470338168070484
Episode #123 Reward: -9395.987064652742, Entropy mean: 0.003896815117166218, Entropy std: 0.040298810736457635
Episode #124 Reward: -10364.918139870775, Entropy mean: 0.00199568499363951, Entropy std: 0.030019515672315752
Episode #125 Reward: -10810.105330807108, Entropy mean: 0.0017787591970968915, Entropy std: 0.030319114903656772
