Episode #138 Reward: -416.64052822172107, Entropy mean: 1.5880230551958083, Entropy std: 0.019431869104977687
Episode #139 Reward: -460.54622030631754, Entropy mean: 1.5884728142619133, Entropy std: 0.0186555391420333
Episode #140 Reward: -442.13862856042795, Entropy mean: 1.5713787645101547, Entropy std: 0.04006431684574502
Episode #141 Reward: -479.0596571230625, Entropy mean: 1.567632381916046, Entropy std: 0.043872332224852484
Episode #142 Reward: -606.4174159011208, Entropy mean: 1.5561339622735977, Entropy std: 0.053266065800448965
Episode #143 Reward: -576.0087230195234, Entropy mean: 1.5665314608812333, Entropy std: 0.044025460681973
Episode #144 Reward: -613.3179487671789, Entropy mean: 1.5819089785218239, Entropy std: 0.0270335892094552
Episode #145 Reward: -471.56918446398106, Entropy mean: 1.6014007964730264, Entropy std: 0.0054117893201339525
Episode #146 Reward: -601.61389589528, Entropy mean: 1.5616624295711516, Entropy std: 0.018013157943479383
Episode #147 Reward: -526.0483623890271, Entropy mean: 1.4969281995296477, Entropy std: 0.08950853762448653
Episode #148 Reward: -571.8141646329557, Entropy mean: 1.5675438541173934, Entropy std: 0.0369231543154522
Episode #149 Reward: -455.7558744653642, Entropy mean: 1.603717758655548, Entropy std: 0.0038263903310030187
Episode #150 Reward: -482.1621461109035, Entropy mean: 1.5863656026124955, Entropy std: 0.02181622013922795
Episode #151 Reward: -470.47057737452604, Entropy mean: 1.6000557896494865, Entropy std: 0.006028438845603033
Episode #152 Reward: -500.2392095061697, Entropy mean: 1.5827589043974877, Entropy std: 0.02547326688549376
Episode #153 Reward: -461.4581681607891, Entropy mean: 1.5882328274846076, Entropy std: 0.019628975958255825
Episode #154 Reward: -648.5107041279138, Entropy mean: 1.5995600837469102, Entropy std: 0.005549354075394514
Episode #155 Reward: -416.7995023853448, Entropy mean: 1.5988700053095817, Entropy std: 0.006844230214624854
Episode #156 Reward: -495.26217345708983, Entropy mean: 1.5898396080732347, Entropy std: 0.022656030833394583
Episode #157 Reward: -486.40238338712186, Entropy mean: 1.5985119637846947, Entropy std: 0.006019511515152088
Episode #158 Reward: -375.37573001260506, Entropy mean: 1.6005406644940376, Entropy std: 0.007802249995284005
Episode #159 Reward: -540.3858067855116, Entropy mean: 1.6017155358195305, Entropy std: 0.004915127447836379
Episode #160 Reward: -416.9287250925038, Entropy mean: 1.594362533390522, Entropy std: 0.013481592720417275
Episode #161 Reward: -541.1683692180371, Entropy mean: 1.583106940984726, Entropy std: 0.022025362621591157
Episode #162 Reward: -461.09455037358447, Entropy mean: 1.594047767817974, Entropy std: 0.010921039079105995
Episode #163 Reward: -418.1685275551322, Entropy mean: 1.589386609494686, Entropy std: 0.019395498993704505
Episode #164 Reward: -621.2077728743473, Entropy mean: 1.5857849192619324, Entropy std: 0.02125813948923413
Episode #165 Reward: -668.2750272884954, Entropy mean: 1.5998631596565247, Entropy std: 0.0038507246599256157
Episode #166 Reward: -510.55801962250627, Entropy mean: 1.5953587073087692, Entropy std: 0.014608325102086187
Episode #167 Reward: -460.9798394253642, Entropy mean: 1.6034914362430572, Entropy std: 0.0037660840400867207
Episode #168 Reward: -517.9831225842328, Entropy mean: 1.5981332510709763, Entropy std: 0.007253942867000205
Episode #169 Reward: -702.3935545889747, Entropy mean: 1.5815507075190545, Entropy std: 0.02728964595133852
Episode #170 Reward: -574.1676913767803, Entropy mean: 1.5934123733639718, Entropy std: 0.0142329407596755
Episode #171 Reward: -510.2790113784983, Entropy mean: 1.5952746349573135, Entropy std: 0.01140010290149797
Episode #172 Reward: -537.425334130313, Entropy mean: 1.5840900662541388, Entropy std: 0.021442996215201956
Episode #173 Reward: -456.02317319198437, Entropy mean: 1.5884030210971831, Entropy std: 0.016041232566977325
Episode #174 Reward: -553.6270222827926, Entropy mean: 1.597288638651371, Entropy std: 0.012677274093777008
Episode #175 Reward: -465.91679914120573, Entropy mean: 1.5928257405757904, Entropy std: 0.009003976580137707
Episode #176 Reward: -449.09154699033206, Entropy mean: 1.5934369027614594, Entropy std: 0.01578976537940857
Episode #177 Reward: -573.9431217513269, Entropy mean: 1.604840704202652, Entropy std: 0.0018114965841909217
Episode #178 Reward: -532.2894795236948, Entropy mean: 1.5945232599973678, Entropy std: 0.014643615182281525
Episode #179 Reward: -500.68414218779924, Entropy mean: 1.5865342816710473, Entropy std: 0.002407513711941895
Episode #180 Reward: -338.23417898226904, Entropy mean: 1.6038695713877678, Entropy std: 0.0034757781365951737
Episode #181 Reward: -452.5018479186966, Entropy mean: 1.603206482231617, Entropy std: 0.0037554113770300285
Episode #182 Reward: -394.2233512022626, Entropy mean: 1.6009787386655807, Entropy std: 0.0075125836387648
Episode #183 Reward: -423.56943453503396, Entropy mean: 1.5997783800959586, Entropy std: 0.00830094861052134
Episode #184 Reward: -517.0234954664517, Entropy mean: 1.6028802624344827, Entropy std: 0.004318477080997942
Episode #185 Reward: -460.7019455894309, Entropy mean: 1.6013460782170297, Entropy std: 0.005331616042242588
Episode #186 Reward: -410.06188820133804, Entropy mean: 1.602588361799717, Entropy std: 0.004788785230208978
Episode #187 Reward: -431.5997452672812, Entropy mean: 1.600450978577137, Entropy std: 0.007010932359675799
Episode #188 Reward: -481.68510281115977, Entropy mean: 1.5971967417001725, Entropy std: 0.010873555478088643
Episode #189 Reward: -547.9733121139067, Entropy mean: 1.5966586816310882, Entropy std: 0.011331534570341377
Episode #190 Reward: -530.5715515270476, Entropy mean: 1.5963016512989998, Entropy std: 0.013307147331991884
Episode #191 Reward: -421.08071596198346, Entropy mean: 1.6034664389491082, Entropy std: 0.005503815750256059
Episode #192 Reward: -461.1634060199099, Entropy mean: 1.605481806397438, Entropy std: 0.005426612594112101
Episode #193 Reward: -528.0123892812976, Entropy mean: 1.602170031964779, Entropy std: 0.006622398477278298
Episode #194 Reward: -474.14104471217684, Entropy mean: 1.6033752533793448, Entropy std: 0.004758116061019565
Episode #195 Reward: -495.53610968050594, Entropy mean: 1.6039782536029816, Entropy std: 0.0016965376262614894
Episode #196 Reward: -575.8146958423416, Entropy mean: 1.5874550807476044, Entropy std: 0.009375955465935483
Episode #197 Reward: -610.9453863978457, Entropy mean: 1.5926876592636108, Entropy std: 0.010516682833438332
Episode #198 Reward: -446.65473446554915, Entropy mean: 1.6049120837450028, Entropy std: 0.0044707477021994155
Episode #199 Reward: -553.4539752381592, Entropy mean: 1.6074914565682412, Entropy std: 0.0028234903793766613
